ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
LN23M33WDC_CLU#138,Regular,Negated clause,Depend? ,NA,independent,unfortunately me drive there beach no (no we won't do that),We can't drive to the beach as the weather isn't good.,1635,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,NA,"drive, beach",Absent,N/A,"BAD, PT:PRO1SG, DRIVE, PT:LOC, BEACH, G:WELL","DRIVE, FBUOY, BEACH, G:WELL"
LN24M31BHC_LH_CLU#004,Regular,Negated clause?,Single,NA,NA,well (me don't know why/it's a mystery),"Yen is fine, but she's experiencing some itchness around her body. ",755,Neg/response,Single,Present,other,HS,CA:SIGNER?,PRESSED-LIPS,NA,Absent,N/A,G:WELL,G:WELL
LN24M31BHC_LH_CLU#033,Regular,Negated clause,Single,NA,NA,me (don't want to) miss (my) job,I don't want to miss much of my job but the problem is that there are only two of us in the office. My colleague is due to go on a holiday in January. ,965,Neg/declarative,Absent,Present,NA,"HS, NHS",NA,NA,"don't want, miss, job",Single,don't,"PT:PRO1SG, DISAPPEAR, WORK","DISAPPEAR, WORK"
LN24M31BHC_LH_CLU#039,Irregular,Negated clause,Single,NA,NA,(me) not-yet (oh well),I will need to confer with my boss soon. ,745,Neg/declarative,Single,Present,other,HS,NA,SYLL:SHH,NA,Absent,Absent,"NOT-YET, G:WELL","NOT-YET, G:WELL"
LN24M31BHC_LH_CLU#040,Irregular,Negated clause,Single,NA,NA,our boss doesn't-know not-yet,Our boss doesn't know yet except for my colleague. ,1270,Neg/declarative,Multiple,Present,other,"NHS, HS",NA,SYLL:SHH,"our, boss, don't know",Single,don't,"PT:POSS1SG, BOSS, KNOW-NOT, NOT-YET","PT:POSS1SG, BOSS, KNOW-NOT, NOT-YET"
LN24M31BHC_LH_CLU#046,Irregular,Negated clause,Single,NA,NA,can't (you) transfer (annual leave days) can't?,Can't you carry over the annual leave days?,1680,Neg/reprise,Single,Present,reprise (clause-final),HS,NA,NA,"can't, transfer, can't",Multiple,Multiple,"CAN, MOVE, CAN-NOT","MOVE, CAN-NOT"
LN24M31BHC_LH_CLU#047,Regular,Negated clause,SharedCecho,NA,NA,not-allowed! (absolutely cannot transfer annual leave days to following year),They'd be expired?,900,Neg/imperative,Single,Absent,other,Nod1,NA,NA,NA,Absent,N/A,FINISH02,FINISH02
LN24M31BHC_LH_CLU#063,Irregular,INDEFINITE,Single,NA,NA,(me had been) doing-nothing procrastinating stalled,I thought I'd decorate my flat as I had been procrastinating for a while. ,1105,Neg/declarative,Single,Present,pre-predicate,NHS,NA,SYLL:THH ,NA,Absent,N/A,"NOTHING, DELAY, THAT-IS-ALL/SHOULDN'T(FALSE-START), STAY","NOTHING, DELAY, THAT-IS-ALL/SHOULDN'T(FALSE-START), STAY"
LN24M31BHC_LH_CLU#068,Regular,Negated clause,Depend,NA,dependent,(if she not happy),Otherwise I'd have to buy another tub of paint. ,473,Neg/declarative,Absent,Present,NA,HS,CA:SIGNER,NA,if not,Single,N/A,FBUOY,FBUOY
LN24M31BHC_LH_CLU#086,Irregular,Negated clause,SharedCecho,NA,NA,"no (you) cannot (summon professional, really??)",Oh really you can't?,1070,Neg/interrogative,Multiple,Present,other,HS,NA,NA,NA,Absent,N/A,"KNOW(FALSE-START), NOTHING, CAN-NOT",CAN-NOT
LN24M31BHC_LH_CLU#098,Irregular,Negated clause,Depend,NA,dependent,(if you) not-like (it)?,If you don't like it then you could give it to me!,270,Neg/declarative,Single,Present,other,HS,NA,NA,not like it,Single,N/A,LIKE-NOT,NA
LN24M31BHC_LH_CLU#118,Regular,Negated clause,Single,NA,NA,(but you) not driving no?,You won't be driving after that?,1205,Neg/interrogative,Single,Present,post-predicate (non-reprise & clause-final),HS,NA,NA,drive,Absent,Absent,"NO/PT:PRO2SG, DRIVE, NO",DRIVE
LN24M31BHC_LH_CLU#122,Regular,Negated clause,Single,NA,NA,(but you) not drinking?,Ah so you're not planning to drink at all?,944,Neg/interrogative,Multiple,Present,reprise (clause-final),HS,NA,NA,"not, drinking",Single,not,"NO, DRINK, NO",TBUOY
LN24M31BHC_LH_CLU#123,Regular,Negated clause?,Single,NA,NA,no (not drinking at all),Ah so you're not planning to drink at all?,361,Neg/response,Single,Present,other,HS,NA,NA,NA,Absent,N/A,NOT,NA
LN24M31BHC_LH_CLU#139,Regular,Negated clause,Single,NA,NA,(he think) should he move-date (of party no he should not),He did think about deferring his party but decided to keep the date as planned. ,1480,Neg/response,Absent,Present,NA,"NHS, HS",NA,NA,"should, move",Absent,Absent,"SHOULD, DELAY","SHOULD, PT:PRO3SG, DELAY"
LN25M76WHC_CLU#015,Regular,Negated clause,Embed?,contained,NA,(you) feel ill nothing (you don't feel ill) you,Though you said you don't recall feeling ill.,947,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),NHS,CD:SIGNER'S-INTERACTANT,NA,"feel, ill, nothing",Single,N/A,"FEEL, ILL, NOTHING, PT:PRO2SG","FEEL, ILL"
LN25M76WHC_CLU#017,Irregular,Negated clause,Single,NA,NA,maybe! (me) not-know,"It could have been the pudding or the turkey, who knows!",1707,Neg/declarative,Single,Absent,other,NHS,NA,PRESSED-LIPS,NA,Absent,Absent,"PERHAPS, KNOW-NOT",NA
LN25M76WHC_CLU#020,Regular,Negated clause,Single,NA,NA,(me) feel dizzy (not) well me,I didn't feel well and got a bit dizzy.,2351,Neg/declarative,Absent,Present,NA,"NHS, HS",CA:SIGNER ,NA,"feel, not well",Single,not,"FEEL, G:CA:DIZZY, WELL, PT:PRO1SG","G:CA:DIZZY, WELL"
