ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
MC23M54WHC_CLU#085,Regular,Negated clause,Single,NA,NA,(me) missed (that there)/(me) never (saw) that/there,I missed that.,751,Neg/response,Single,Present,other,HS1,NA,NA,didn't/missed,Single,didn't,"NEVER, PT:PRO3SG/PT:LOC",NEVER
MC23M54WHC_CLU#099,Regular,Negated clause,Single,NA,NA,(me) never heard that,I've never heard of that.,676,Neg/response,Single,Present,pre-predicate,NHS,NA,NA,"never, heard",Single,never,"NEVER, HEAR, PT:PRO3SG",NA
MC23M54WHC_CLU#102,Regular,Negated clause?,Single,NA,NA,well (I didn't know),I didn't know.,468,Neg/response,Absent,Present,NA,HS,NA,PRESSED-LIPS,NA,Absent,N/A,G:WELL,G:WELL
MC23M54WHC_CLU#132,Irregular,Negated clause,Single,NA,NA,(me) not-yet,Not yet!,361,Neg/response,Single,Present,other,NHS,NA,NA,not yet,Single,not,NOT-YET,NOT-YET
MC23M54WHC_CLU#133,Irregular,Negated clause,Single,NA,NA,(my) daughter (and) son (are) not-yet (ready for babies),My daughter and son are late developers.,2080,Neg/declarative,Single,Present,other,NHS,NA,NA,"daughter, son, not yet",Single,not,"DAUGHTER, FS:SON, NOT-YET","DAUGHTER, FS:SON, NOT-YET"
MC24F64WHC_CLU#013,Regular,Negated clause,Single,NA,NA,me nothing (no car/no mobile phone)!,I didn't have one.,440,Neg/response,Single,Present,other,HS,NA,NA,NA,Absent,Absent,"PT:PRO1SG, NOTHING",NA
MC24F64WHC_CLU#020,Regular,Constituent negation,Depend?,NA,independent,(there is/they have) no time,There's no time when you're married with children.,868,NA,Absent,Present,NA,HS,NA,NA,no time,Single,N/A,"G:WELL, TIME","G:WELL, TIME"
MC24F64WHC_CLU#025,Regular,Negated clause,Single,NA,NA,(oh you have not) been you,You haven't been.,508,Neg/response,Absent,Present,other,HS,NA,NA,been,Absent,Absent,"BEEN, PT:PRO2SG",NA
MC24F64WHC_CLU#030,Regular,Constituent negation,Single,NA,NA,no (not with interpreter)/no (interpreter),"No, none.",1395,NA,Single,Present,other,HS,NA,NA,no,Single,N/A,NOTHING,NOTHING
MC24F64WHC_CLU#031,Irregular,Negated clause,Single,NA,NA,(well we) can't get one interpreter (we) can't get one,We couldn't get an interpreter.,2951,Neg/reprise,Multiple,Present,reprise (non-clause-final),HS,NA,NA,"can't, get, one, interpreter, can't, get, one",Multiple,Multiple,"G:WELL, CAN-NOT , FS:GET, ONE, INTERPRETER, CAN-NOT, FS:GET, ONE, G:WELL","G:WELL, FS:GET, INTERPRETER, FS:GET, G:WELL"
MC24F64WHC_CLU#038,Regular,Constituent negation,Single?,NA,NA,no me talking-about hotel food what food alright?/no me talking-about (what was the) hotel food alright?,Did she say whether the hotel and food were any good? ,2882,NA,Single,Present,other,"HS,  ",NA,NA,"no, I'm, talking, about, hotel, food, what, food, alright",Single,N/A,"NO, PT:PRO1SG, TALK, PT:POSS1SG, HOUSE, EAT, WHAT, EAT, GOOD","HOUSE, GOOD"
MC24F64WHC_CLU#048,Regular,Negated clause,Single,NA,NA,so/well (me) don't work,I've retired from work.,987,Neg/declarative,Single,Present,pre-predicate,"HS?, NHS",NA,NA,"no/don't, work",Single,don't,"G:WELL, NOTHING, WORK, G:WELL","G:WELL, WORK"
MC24F64WHC_CLU#054,Regular,Constituent negation,Single,NA,NA,"no (it's) October 4th to...mean Monday, Tuesday, Wednesday, Thursday, Friday (in total five days of) Blackpool","No, from October 4th, from Monday to Friday. ",5409,NA,Single,Present,other,"HS1, NHS",NA,NA,"no, October, fourth, to, mean, Monday, Tuesday, Wednesday, Thursday, Friday, Blackpool",Single,N/A,"NO, FS:OCTOBER(OCT), RANKING-FOUR, FROM-TO, MEANING, PT:LBUOY, PT:LBUOY, PT:LBUOY, PT:LBUOY, PT:LBUOY, BLACKPOOL","FS:OCTOBER(OCT), LBUOY-FIVE "
MC24F64WHC_CLU#074,Regular,Negated clause,Single,NA,NA,some (people) not (have) photo ID-badge-on-chest,Anyone not wearing photo ID can't get in! ,1484,Neg/declarative,Single,Present,pre-predicate,"NHS, HS",NA,NA,"some, no, photo",Single,no,"SOME, NOTHING, PHOTO, TICKET",TICKET
MC24F64WHC_CLU#075,Irregular,Negated clause,Single,NA,NA,they can't get-in,Anyone not wearing photo ID can't get in! ,830,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"can't, in",Single,can't,"PT:PRO2PL, CAN-NOT, GO-IN",GO-IN
MC24F64WHC_CLU#076,Regular,Negated clause,Single,NA,NA,(you) don't laugh no!,Don't laugh!,800,Neg/response,Multiple,Present,reprise (clause-final),"NHS, HS",NA,NA,"no/don't, laugh, no/don't",Multiple,Multiple,"NO, LAUGH, NO",NA
MC24F64WHC_CLU#077,Regular,Constituent negation,Single,NA,NA,no (that's not it),No.,800,NA,Single,Present,other,HS,NA,NA,NA,Absent,N/A,NO,NA
MC24F64WHC_CLU#079,Irregular,Negated clause,Single,NA,NA,why-not go you why-not go you?,Why don't you come?,1515,Neg/interrogative,Multiple,Present,reprise (non-clause-final),NHS,NA,NA,"why not, go, why not, go",Multiple,Multiple,"WHY-NOT, GO, PT:PRO2SG, WHY-NOT, GO, PT:PRO2SG",NA
MC24F64WHC_CLU#080,Regular,Negated clause,SharedCecho,NA,NA,(you) never heard? (well that's strange),You've never heard of it?,440,Neg/response,Single,Present,pre-predicate,HS,NA,NA,"never, heard",Single,N/A,"NEVER, HEAR",NA
MC24F64WHC_CLU#114,Regular,Negated clause,Single,NA,NA,(you) never know (you) never know!,You never know!,1123,Neg/response,Multiple,Present,reprise (non-clause-final),NHS,NA,NA,"never, know, never, know",Multiple,Multiple,"NEVER, KNOW, NEVER, KNOW","NEVER, NEVER"
MC24F64WHC_CLU#132,Regular,Negated clause,Single,NA,NA,(he) not pay (rent)?,And he has to pay rent? ,634,Neg/interrogative,Single,Present,pre-predicate,HS,NA,NA,"no, pay",Single,no,"NOTHING, PAY",PAY
MC24F64WHC_CLU#140,Regular,Constituent negation,Depend,NA,dependent,because nobody (else was) goalkeeper/because (there was) nobody (else) goalkeeper,They didn't have a goalkeeper,1356,NA,Single,Present,other,"NHS, HS?, NHS",NA,NA,"through, nobody, goalkeeper",Single,N/A,"THROUGH, NOTHING, GOALKEEPER","THROUGH, NOTHING, GOALKEEPER"
MC24F64WHC_CLU#150,Regular,Constituent negation,Depend,NA,dependent,(or) nothing all-finished finish more-coming-up finished? ,"Is there anything coming up, or is it finished now? ",1788,NA,Single,Present,other,"HS, NHS",NA,NA,"nothing, finish, finish, finish",Single,N/A,"NOTHING, FINISH, DEPTH, FINISH","NOTHING, FINISH, DEPTH, FINISH"
MC27F24WDC_CLU#008,Regular,Constituent negation,Single,NA,NA,that's-it nobody (else),"Nobody else, just us getting married.",1180,NA,Single,Present,other,NHS,NA,NA,"that's it, nobody",Single,N/A,"G:THAT-IS-ALL, NOTHING","G:THAT-IS-ALL, NOTHING"
MC27F24WDC_CLU#013,Regular,Constituent negation,Single,NA,NA,just us-two nobody-else,Just the two of us.,1658,NA,Single,Present,other,NHS,NA,NA,"only, us, nobody else",Single,N/A,"ONLY, PT:PRO1PL-TWO, NOT","ONLY, NOT"
MC27F24WDC_CLU#014,Regular,Negated clause,Single,NA,NA,no parents nothing,No parents or anything.,1268,Neg/declarative,Multiple,Present,other,"HS1, NHS",NA,NA,"no, parents, nothing",Multiple,Multiple,"NOTHING, PARENTS, NOTHING","NOTHING, PARENTS, NOTHING"
MC27F24WDC_CLU#031,Regular,Negated clause,Single?,NA,NA,(they will) never forget our different (wedding)/(they will) never forget (our wedding) + (because) we different,They'll never forget how different it would be. ,1426,Neg/declarative,Single,Present,pre-predicate,NHS,NA,NA,"never, forget, different",Single,N/A,"NEVER, FORGET, PT:PRO1PL-TWO, DIFFERENT","NEVER, PT:PRO1PL-TWO, DIFFERENT"
MC27F24WDC_CLU#032,Regular,Negated clause,Single,NA,NA,not same-same-same (typical old) wedding,It wouldn't be a same old wedding.,1151,Neg/declarative,Single,Present,pre-predicate,NHS,NA,NA,"not, same same, wedding",Single,not,"NO, SAME, SPOUSE","NO, SAME, SPOUSE"
MC27F24WDC_CLU#043,Regular,Constituent negation,Single,NA,NA,(there is) no garden,Difficult without a garden.,761,NA,Single,Present,other,NHS,NA,NA,"no, garden",Single,N/A,"NOTHING, GARDEN",NA
MC27F24WDC_CLU#048,Irregular,Negated clause,Single,NA,NA,Max not-yet never have garden he never had (one),He's never had a garden.,2674,Neg/declarative,Multiple,Present,reprise (non-clause-final),"NHS , HS? , NHS ",NA,NA,"Max, not yet, never, have, garden, never, have",Single,Multiple?,"FS:MAX, NOT-YET, NEVER, HAVE, GARDEN, PT:PRO3SG, NEVER, HAVE","FS:MAX, NOT-YET, NEVER, HAVE, NEVER, FBUOY"
MC27F24WDC_CLU#062,Regular,Constituent negation,Single,NA,NA,(there's no) room (in) en-suite!,There's no room in an ensuite.,1239,NA,Absent,Present,NA,HS,NA,NA,"no room, ensui(te)",Single,N/A,"ROOM02, FS:ENSUITE(ENS)","ROOM02, FS:ENSUITE(ENS)"
MC27F24WDC_CLU#092,Irregular,Negated clause,Single,NA,NA,(she) restless cannot sleep,But I was restless and couldn't sleep.,1553,Neg/declarative,Single,Present,pre-predicate,HS,CA:SIGNER-SISTER,NA,"can't, slee(p)",Single,can't,"DSEW(2-HORI)-MOVE, CAN-NOT, SLEEP, G:CA:PANIC","SLEEP, G:CA:PANIC"
MC27F24WDC_CLU#107,Irregular,Negated clause,Depend,NA,independent,like going-to zoo (you) can't  ,"If the weather's bad, you can't go to the zoo and stuff!",1561,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),NHS,NA,NA,"like, go, zoo, can't",Single,N/A,"SAME, GO02, FS:ZOO, CAN-NOT ","SAME, GO02, FS:ZOO, CAN-NOT "
MC27F24WDC_CLU#147,Regular,Negated clause,Single,NA,NA,me (not get) two-weeks off (work),I don't get two weeks off.,1200,Neg/response,Absent,Present,NA,HS,NA,NA,two weeks,Absent,Absent,"PT:PRO1SG, WEEK-TWO, DISAPPEAR","WEEK-TWO, DISAPPEAR"
MC27F24WDC_CLU#155,Regular,Constituent negation,Single,NA,NA,(there are) no subtitles?,No subtitles?,1073,NA,Single,Present,other,HS,NA,NA,"no, subtitle",Single,N/A,"NOTHING, SUBTITLES",SUBTITLES
MC28M26WDC_CLU#007,Regular,Negated clause,Single,NA,NA,will never forget,With photos that we can keep forever so we never forget it.,1470,Neg/declarative,Single,Present,pre-predicate,NHS,NA,NA,"will, never, forget",Single,never,"WILL, NEVER, FORGET02",NEVER
MC28M26WDC_CLU#035,Regular,Negated clause,Single,NA,NA,not stiff (and awkward),No stiffness.,950,Neg/declarative,Single,Present,pre-predicate,"HS?, NHS",NA,NA,"not, stiff",Single,not,"NOTHING, STIFF",STIFF
MC28M26WDC_CLU#039,Regular,Negated clause,Depend?,NA,dependent,not short-notice/last-minute,Not at the last minute.,830,Neg/declarative,Single,Present,pre-predicate,NHS,NA,NA,not,Single,N/A,"NO, APPROACH-CLOSE","NO, APPROACH-CLOSE"
MC28M26WDC_CLU#043,Regular,Negated clause,Depend?,NA,dependent,well not (a) cheap house or flat,Not a cheap house or flat.,2230,Neg/declarative,Single,Present,pre-predicate,"NHS, HS, NHS",NA,NA,"not, cheap, house, or, flat",Single,N/A,"G:WELL, NOT, CHEAP, HOUSE02, G:WELL, FLAT","NOT, CHEAP, HOUSE02, G:WELL, FLAT"
MC28M26WDC_CLU#053,Irregular,Negated clause,Single,NA,NA,(and then we) cannot afford pay-back well,You have to do work on a cottage and pay for things you can't afford! ,990,Neg/declarative,Single,Present,pre-predicate,HS1,NA,NA,"can't, afford, it",Single,can't,"CAN-NOT, PAY, G:WELL","PAY, G:WELL"
MC28M26WDC_CLU#057,Regular,Constituent negation,Depend,NA,dependent,because well..think...well (yes) no garden well,It'd be hard in a flat because there wouldn't be a garden. ,2750,NA,Single,Present,other,"NHS, HS1?",NA,NA,"because, no garden",Single,N/A,"BECAUSE, G:WELL, THINK, G:WELL, GARDEN, G:WELL","BECAUSE, G:WELL, G:WELL, FBUOY, G:WELL"
MC28M26WDC_CLU#070,Regular,Constituent negation,Single,NA,NA,me no room (for) me,There wouldn't be room for me.,1230,NA,Single,Present,other,HS?,NA,NA,"no, room, for me",Single,N/A,"PT:PRO1SG, NOTHING, ROOM02, PT:PRO1SG","NOTHING, ROOM02"
MC28M26WDC_CLU#079,Regular,Negated clause,Single,NA,NA,(you) can't spend (on) clothes you!,You can't spend it on clothes!,1230,Neg/declarative,Single,Present,pre-predicate,"HS1, NHS",NA,NA,NA,Absent,Absent,"NO, SPEND, CLOTHES, PT:PRO2SG","NO, SPEND, CLOTHES"
MC28M26WDC_CLU#096,Regular,Negated clause,Single,NA,NA,well (me don't know),I don't know.,440,Neg/response,Absent,Present,NA,NHS,NA,NA,don't know,Single,don't,G:WELL,G:WELL
